message,sentiment,intent
There is a billing issue related to synergize bleeding-edge functionalities.,Neutral,Billing Issue
I have a question about maximize front-end synergies.,Negative,General Inquiry
I would like to change my subscription to include optimize user-centric content.,Positive,Subscription Change
"I can't access my account, need help with innovate leading-edge systems.",Neutral,Account Help
Can you tell me more about generate turn-key e-commerce?,Neutral,Request Info
I'm having trouble with re-intermediate collaborative initiatives in the app.,Negative,Technical Issue
"I can't access my account, need help with strategize customized ROI.",Neutral,Account Help
I'm having trouble with transition vertical partnerships in the app.,Negative,Technical Issue
I would like to change my subscription to include cultivate e-business mindshare.,Neutral,Subscription Change
"I can't access my account, need help with architect value-added experiences.",Negative,Account Help
I would like a refund because of function-based interactive hardware.,Negative,Refund Request
Great job on the envisioneer mission-critical technologies!,Neutral,Feedback
"I can't access my account, need help with deliver intuitive solutions.",Negative,Account Help
There is a billing issue related to enable web-enabled models.,Neutral,Billing Issue
Great job on the synthesize B2C deliverables!,Positive,Feedback
I want to cancel my account due to diverse analyzing task-force.,Positive,Cancel Account
I would like a refund because of innovative hybrid orchestration.,Neutral,Refund Request
I'm having trouble with synergize ubiquitous platforms in the app.,Neutral,Technical Issue
Great job on the whiteboard e-business convergence!,Negative,Feedback
Can you tell me more about harness killer metrics?,Positive,Request Info
I want to cancel my account due to de-engineered clear-thinking support.,Negative,Cancel Account
I'm having trouble with transform global bandwidth in the app.,Neutral,Technical Issue
I have a question about iterate end-to-end relationships.,Positive,General Inquiry
Great job on the aggregate distributed vortals!,Negative,Feedback
I'm having trouble with re-contextualize user-centric synergies in the app.,Neutral,Technical Issue
There is a billing issue related to drive web-enabled users.,Negative,Billing Issue
I'm not satisfied with the right-sized upward-trending artificial intelligence.,Negative,Complaint
Can you tell me more about unleash intuitive applications?,Positive,Request Info
"I can't access my account, need help with transition strategic content.",Negative,Account Help
Great job on the brand sticky channels!,Neutral,Feedback
I'm not satisfied with the assimilated non-volatile graphic interface.,Negative,Complaint
I'm having trouble with syndicate clicks-and-mortar technologies in the app.,Neutral,Technical Issue
I would like to change my subscription to include target B2B content.,Neutral,Subscription Change
"I can't access my account, need help with utilize intuitive bandwidth.",Negative,Account Help
"I can't access my account, need help with cultivate killer interfaces.",Negative,Account Help
I would like a refund because of customer-focused scalable frame.,Positive,Refund Request
I'm not satisfied with the customizable well-modulated complexity.,Negative,Complaint
I would like to change my subscription to include strategize revolutionary action-items.,Negative,Subscription Change
I want to cancel my account due to intuitive value-added concept.,Positive,Cancel Account
